trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
toNanaimoMoTuWe_T01,07:00:00,07:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T01,07:08:00,07:08:00,2,2,,1,0,1,1,,1
toNanaimoMoTuWe_T02,08:00:00,08:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T02,08:08:00,08:08:00,2,2,,1,0,1,1,,1
toNanaimoMoTuWe_T03,09:00:00,09:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T03,09:08:00,09:08:00,2,2,,1,0,1,1,,1
toNanaimoMoTuWe_T04,10:00:00,10:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T04,10:08:00,10:08:00,2,2,,1,0,1,1,,1
toNanaimoMoTuWe_T05,11:00:00,11:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T05,11:08:00,11:08:00,2,2,,1,0,1,1,,1
toNanaimoMoTuWe_T06,12:00:00,12:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T06,12:08:00,12:08:00,2,2,,1,0,1,1,,1
toNanaimoMoTuWe_T07,13:00:00,13:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T07,13:08:00,13:08:00,2,2,,1,0,1,1,,1
toNanaimoMoTuWe_T08,14:00:00,14:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T08,14:08:00,14:08:00,2,2,,1,0,1,1,,1
toNanaimoMoTuWe_T09,15:00:00,15:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T09,15:08:00,15:08:00,2,2,,1,0,1,1,,1
toNanaimoMoTuWe_T10,16:00:00,16:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T10,16:08:00,16:08:00,2,2,,1,0,1,1,,1
toNanaimoMoTuWe_T11,17:00:00,17:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T11,17:08:00,17:08:00,2,2,,1,0,1,1,,1
toNanaimoMoTuWe_T12,18:00:00,18:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T12,18:08:00,18:08:00,2,2,,1,0,1,1,,1
toNanaimoMoTuWe_T13,19:00:00,19:00:00,1,1,,0,1,1,1,,1
toNanaimoMoTuWe_T13,19:08:00,19:08:00,2,2,,1,0,1,1,,1
toIslandMoTuWe_T01,07:10:00,07:10:00,2,1,,0,1,1,1,,1
toIslandMoTuWe_T01,07:20:00,07:20:00,1,2,,1,0,1,1,,1
toIslandMoTuWe_T02,08:10:00,08:10:00,2,1,,0,1,1,1,,1
toIslandMoTuWe_T02,08:20:00,08:20:00,1,2,,1,0,1,1,,1
toIslandMoTuWe_T03,09:10:00,09:10:00,2,1,,0,1,1,1,,1
toIslandMoTuWe_T03,09:20:00,09:20:00,1,2,,1,0,1,1,,1
toIslandMoTuWe_T04,10:10:00,10:10:00,2,1,,0,1,1,1,,1
